hash,train_image_ids,train_labels,train_azimuths,test_image_ids,test_azimuths,azimuth_same,circular_azimuth_difference
0054f28f159574b1b415a5760deebc9c79a1502a44a0785928c3b8c35ccfaef1,train_01668.png,1,9.64,eval_00495.png,101.38,False,91.74
00597d3428669eef5d7c90518ecbdf27fa85fe92520cd01652dc7493aef20651,train_00420.png,1,45.74,eval_01394.png,147.57,False,101.82999999999998
008eeb0c333248a7b09b77a25f25a1b25f2d4fe07785dd35daf62e59b4652ac2,train_00560.png,0,330.51,eval_01751.png,139.38,False,168.87
00ff82d717120c9ba4c6c3c35e6ae985583a238fc7af865e70ac6893c1032a22,train_02059.png,1,134.01,eval_01505.png,104.31,False,29.69999999999999
0100fb2cd31885430472383fbaa1eaa90c2765ee1e3f2c569354070d71d6d969,train_01577.png,1,77.56,eval_01484.png,124.42,False,46.86
010161b09ab6422e81bc5374af49f0bb44d40570b8a96924e51e836b2d30d234,train_07301.png,1,5.78,eval_01876.png,165.44,False,159.66
010f1fa166ae8ce13b0d4a1645dee4131f7edfd3b44be996319dab05bab16cf5,train_05461.png,0,332.89,eval_01803.png,158.45,False,174.44
016a26e3f4cc1906f919e335f389cb700bc1a2e486603f280756a8eccf3a2044,train_07293.png,1,93.57,eval_00344.png,119.52,False,25.950000000000003
01b346b4e3e6ff4513e8fb1ebf5df149af0ab31d6c4a8e23d66ca498c94bc1bf,train_01270.png,1,296.05,eval_00175.png,168.85,False,127.20000000000002
0266f997a7420729b6bebeb42a6b9a0d3f489ed84b999044d26babcc0c7042a0,train_02294.png,1,22.48,eval_00361.png,113.64,False,91.16
028de32d00e261bd013d6d1abe95a0b0a6da8446106cdf4bddb944d1020a686c,train_04620.png,1,118.00,eval_01242.png,100.85,False,17.150000000000006
03173b83f874948c016dd770a3f48359a2338a96492d6a230c8eed35aa0d60da,train_03026.png,1,356.98,eval_00240.png,108.84,False,111.85999999999999
034e36e554558405f586ff8bf2c34f5a74e9c972688c6aeaa61e5bcb9dcecf50,train_01597.png,1,336.74,eval_01552.png,165.91,False,170.83
04119410be53b7cd98380a187d81c012d6b305137b893a77e7d09f67bff5116a,train_06086.png,0,272.29,eval_01593.png,71.73,False,159.44
043cc803d6a13cd64e376c3a45326c9ca0771be8425394ec15cba23a7ba2e171,train_02856.png,1,132.42,eval_01437.png,117.07,False,15.349999999999994
051431cf2a81623f2ca4287b2f1571d74fd9b881eb3a772bef911604ffd9e4f4,train_00680.png,1,118.77,eval_00787.png,126.10,False,7.329999999999998
054e4fae0b6f23339e64cb11b90dc1a15038b8a5133adbe49231b3c986763e78,train_04790.png,1,265.82,eval_00101.png,132.05,False,133.76999999999998
07562757f4b08a7522e59550425802c0e24ac08b60120173543c264b87e818a6,train_02825.png,0,343.49,eval_01662.png,252.01,False,91.48000000000002
07584d1dff794c081ae63fa69de1b7cf69057dcc3e95643ad9e9dc375d214048,train_06960.png,0,331.87,eval_01335.png,244.27,False,87.6
075d294c2f08dface7385c7e26eab2987782b44da8be195c74b76ec2b98dfd92,train_01152.png,0,270.10,eval_01466.png,173.18,False,96.92000000000002
07e2e584b649c1893eac81f97f366b3f6850e5402b3db74006b6a96c718c1992,train_02246.png,0,317.15,eval_01788.png,67.11,False,109.96000000000004
07ebd91ec0ca4092948bf53325988ba32d339b0f4f377bd847706187dc2a8d1d,train_06151.png,0,359.61,eval_00375.png,332.36,False,27.25
082816f26d01fd219ad8cefb0c8e31b3c3c8bda37d54c345a9630ca6f72da589,train_07498.png,1,34.88,eval_01281.png,176.88,False,142.0
082c05b16235b46aca21bd13f7b26925edbf23ae9f9cdd73a0dfda3bd1771a74,train_04488.png,0,343.60,eval_00306.png,2.03,False,18.42999999999995
08c671cd2535344e09b820c54edf2adccfd8f609dbabd6dabb4d34e2ceca9fe7,train_04583.png,1,233.34,eval_01823.png,104.58,False,128.76
0956caef22d74ca5ef640b022ee49aa61456d785043549fac4a208fcc7a65656,train_03112.png,1,221.06,eval_00763.png,108.57,False,112.49000000000001
097f2cd406e3d88f257acae2d1598032a2590183d88fbbf725af28d44217ceff,train_06459.png,1,186.05,eval_01883.png,107.78,False,78.27000000000001
0984db326bc53c32e26a0f59580a02fb4d5657987b13e55365831c076b482a0d,train_05177.png,0,303.13,eval_00988.png,182.15,False,120.97999999999999
09ebec8a9c7ebabc3213d01b7443d6c5e670efc6751c168b78203f16f3a44e4d,train_06910.png,0,280.99,eval_00888.png,347.90,False,66.90999999999997
0a708dd4af12f344dc6b66b8f3821090088dad1c3aa7a741345f651da49d6de0,train_02667.png,0,352.21,eval_01639.png,338.84,False,13.370000000000005
0add1a18c2f8440a592789004a17ca6b4b1b249cf6a4283b18beb9b8e14280ee,train_06991.png,1,275.71,eval_01716.png,164.00,False,111.70999999999998
