hash,image_ids,labels,azimuths,num_images
0014f69111dd918f3eb66a67322d776e7639a81d7b20f93930ebd1cf8c34734e,train_03333.png; train_05451.png,0; 1,242.72; 127.14,2
003311ca15a08af421c076e3499b38d60578202ce5fbe37b3336ccae3b532617,train_00589.png; train_03920.png,0; 1,306.41; 200.86,2
0081849a31d70be955fd488a059e055f585a35ad40d0ebe70df8e0c0fe4e4249,train_03083.png; train_04838.png,0; 1,316.40; 51.93,2
00b0911af0e2dbfaafb6bfd74c2d0fea1169ea8010d4ed03b82fac6a983472fa,train_03593.png; train_07629.png,0; 1,312.15; 35.90,2
00b68fe26d7c6cdcbdc88edccb047beddcea9cf9e589560d643bfd77c7b65dd6,train_03672.png; train_04404.png,1; 0,98.40; 307.19,2
00f1e1b6bb565297c54547a37fc81c181a2d1f59d80cbc2bb60bf413a90c09c9,train_02459.png; train_06163.png,0; 1,320.64; 88.28,2
00fc4b6605656822a652380101d1779d5d55409a379251949861d3490b93e503,train_01055.png; train_04665.png,0; 1,296.55; 134.07,2
0111d161bb29c00a7d81310e71c957d1d7d6d480237d4024c01d9ce946dadfab,train_06019.png; train_06035.png,1; 0,178.64; 285.89,2
01adc1e1121265375a7a1b27e5d3b600a58befac812aed201c79db654e5b4895,train_01380.png; train_02954.png,1; 0,323.76; 349.17,2
01be017c6e47a95062ae4d71d053cfa22df85e498d98d0e59fda1191b1b21fc6,train_04640.png; train_05812.png,1; 0,330.13; 271.43,2
01cc7020de4d067664ad9deac1c0cee3dc414dee7e52ab067a9d6ca1b5304d5b,train_00645.png; train_01564.png,1; 0,258.73; 182.09,2
01f0ea9b2f4d14e7baab2cbc9872714f658088947bd0560622a6318153b28f3a,train_04222.png; train_05364.png,0; 1,292.31; 350.50,2
01f399b0c21f2d46142485973535c4db1138ec8fb66835b2acca02437e27dbab,train_02341.png; train_03987.png,1; 0,341.67; 151.60,2
02186b8627ee9da9d89f0604f6edc485307486c2e020506b8ec40a8ca364affe,train_05964.png; train_07305.png,0; 1,300.11; 179.01,2
021d1c0cf0364369b75dd403de300c4caf237e0b38c4b5f1d6e672c58db9f1d0,train_03001.png; train_05795.png,1; 0,247.04; 311.43,2
02c7bb7f599f107c9dc842ad079d5e04d16b9c4a1719316a2898330442a50ee8,train_03062.png; train_06892.png,1; 0,270.05; 317.11,2
02c98a1a0d92109f35bfce16119b2a7da79643688ec8b165d13782cd366a0681,train_00543.png; train_06905.png,1; 0,183.68; 313.47,2
033e65bc472fe22cb21e7a494604ecc44ed5a2e34aa7e7b7521273f81c795982,train_00681.png; train_02712.png,1; 0,295.60; 263.81,2
0397890883a7c87b0d7f5c066e1d5ec903c750ac5bbe905b8eface6563f8bf2b,train_00758.png; train_06874.png,1; 0,181.18; 309.17,2
039ade76c25e6ef7222f4da4b7dad5ccb2794e7c039eef6bf6aaf0ba0d4492b3,train_02072.png; train_04316.png,1; 0,303.47; 358.64,2
03e3fb7b69b247c2431052eba94ab173a59bad37a61cd193ef6836e974df1595,train_05926.png; train_06973.png,1; 0,189.64; 13.45,2
03f263a78e0b669379c6612c39434787c0ffee424d09ddf5d03221a214e24e1b,train_04950.png; train_05067.png,0; 1,321.76; 110.55,2
03fe8bfd825a1d87bf2b28c13c1696dcd41b15804a7d6798fcd0c4e46f5448a6,train_03011.png; train_03585.png,1; 0,18.63; 306.22,2
040ad73cc76f315d934cc0c90225d381889b3e5fb3e01c9797024d82453a665d,train_00797.png; train_01555.png,1; 0,173.30; 319.40,2
0450c3c293884788d5f14b52f58e91ee621d1031b3b7a7396312aa2cd0a536cf,train_03937.png; train_07571.png,0; 1,316.66; 338.07,2
048c37320c4402462ab2995a7994770f83beeceebc71469f031e58f67d05807d,train_00081.png; train_04985.png,0; 1,340.18; 44.95,2
048e54a8fa3f566db50237fc5475b71133046e22883c96a4ea54dfcf7433f10c,train_01644.png; train_04797.png,0; 1,303.29; 168.98,2
04a6f7bc787d2e72af47c99d8fb3df283dbaca36918a8a6605fb684853bd1977,train_05112.png; train_07517.png,0; 1,253.77; 7.44,2
04bbf26ee374871955471eb56d7f43f86f110010da425358dc168647506bc69b,train_00226.png; train_04657.png,1; 0,82.79; 277.20,2
04fc52ddeba4af0eb33f240b1cee9ffbf3fa5960ec649e15e06385a985163db4,train_00389.png; train_03759.png,0; 1,313.47; 77.83,2
050595d37f96d6199d879d9417305d618cb47d9d99ba1339c543f2ea8149bdc3,train_00529.png; train_05971.png,1; 0,197.40; 349.94,2
0527411f25466f649289a5c39b6396c9c15e887d0eaf863a18b81ec60b3bed2e,train_06250.png; train_07584.png,0; 1,358.13; 245.87,2
05397991cb20b32947f51c957b2e55463a8a8ba319f7907b2bb4273579b33846,train_00994.png; train_02544.png,1; 0,316.16; 294.05,2
05cc7627a9a68f225827e2c7dd485d4a0efea7ab9cf757e13fec8a553e52f72f,train_03874.png; train_04008.png,1; 0,297.70; 287.97,2
05dfa4e6421b0ad2ba87a9978ff48c8225af4e487201061639d729e123f333de,train_06310.png; train_07167.png,1; 0,55.31; 287.11,2
06b09e5939c28a3a3f1caea93075b316047e10320ccc893098cda64e35ff44a3,train_03727.png; train_05347.png,0; 1,345.52; 61.03,2
06c04f9e965a5235ec6d8a43e5eebcc6216087edf009f017f26684d29cb23c36,train_01417.png; train_02137.png,0; 1,326.82; 74.17,2
06efbc4d6dd2b3c5484859788e8a2e78bdb8b958a6f04989e952c14d8ae1fe1e,train_02775.png; train_04390.png,0; 1,312.10; 328.24,2
06f08a214d8ad21b6222f8c0dab8d2a5ad434bde8e2939c0342673933de33fc2,train_01016.png; train_06870.png,0; 1,291.71; 110.32,2
06fc109fb583d1674800bdfcd03f32d056421ce78e9e2cd7cc55acafa50cd35f,train_01547.png; train_02913.png,0; 1,329.34; 136.33,2
0705d0ccbe6aada548c1450a727c4794172dfae210c37c6f96697ec55409739e,train_01255.png; train_03396.png,1; 0,20.03; 354.28,2
071424ab37a86eb494f77e55ed98f18a787752a9d10ba5a2c48a54062633606c,train_02022.png; train_07755.png,0; 1,312.63; 79.80,2
075827dd4dcf7ea1726405968e7b829bd66a89806534bf01f2f2e3fa418ee935,train_01071.png; train_07181.png,1; 0,271.85; 32.90,2
0781fc9ab17481222195185d61051bf37f1b1a207118ade1bb7d632739d2fe23,train_03780.png; train_05947.png,0; 1,54.68; 283.03,2
07a0d258864648ed20162942eeb81f7632ee6a4a55f5e15af5d8421092c20c1b,train_04913.png; train_05306.png,0; 1,340.82; 53.87,2
0852a195c57ac521621817e232e1d4dee2ced9b58470103fbfb65558c5da2ec6,train_02150.png; train_05338.png,1; 0,169.47; 331.03,2
087314d5a80669cc5b8ad31cf7979f72da4074fd040eefb9547f4936a2da6546,train_02134.png; train_03541.png,0; 1,201.51; 43.78,2
0873e33faafdc6fbefc39d2d6432ae876c8beb36bb4c2f1156a1159d07acc7d0,train_06976.png; train_07694.png,1; 0,68.31; 233.82,2
